composite_rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,std_r,total_r,pf,max_dd,calmar,sharpe,adj_sharpe,composite_score
21,H4-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,180,85.6,0.6161,1.0165,110.89,4.192,9.31,11.911,0.606,8.132,20.4
22,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,686,72.0,0.1562,0.5604,107.16,2.047,5.45,19.662,0.279,7.3,20.6
23,H4-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,490,78.2,0.3157,0.7282,154.69,3.406,12.28,12.597,0.434,9.597,21.400000000000002
24,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,506,71.9,0.1723,0.5477,87.17,2.256,5.45,15.994,0.315,7.076,22.400000000000002
25,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,2394,65.0,0.1092,0.8879,261.34,1.335,15.8,16.541,0.123,6.018,23.000000000000004
26,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,498,75.3,0.1381,0.5334,68.78,1.933,4.86,14.152,0.259,5.778,25.2
27,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3885,64.6,0.1081,0.9238,420.0,1.302,33.06,12.704,0.117,7.294,26.0
28,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,682,73.6,0.1136,0.5494,77.45,1.688,5.99,12.93,0.207,5.4,27.6
29,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,2269,65.7,0.102,0.883,231.5,1.302,17.32,13.366,0.116,5.502,27.6
30,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,2942,61.1,0.1065,1.0229,313.43,1.251,31.57,9.928,0.104,5.647,29.8
31,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,1592,61.9,0.1181,1.0421,187.95,1.279,20.55,9.146,0.113,4.522,30.6
32,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,421,68.6,0.096,0.4944,40.41,1.672,3.89,10.388,0.194,3.984,31.400000000000002
33,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,121,68.6,0.1993,0.8653,24.11,1.611,6.54,3.687,0.23,2.534,33.4
34,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,1601,61.1,0.0941,1.0048,150.64,1.223,21.65,6.958,0.094,3.747,33.60000000000001
35,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,1421,64.7,0.0814,0.817,115.72,1.267,19.0,6.091,0.1,3.756,34.00000000000001
36,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,305,66.9,0.0927,0.4914,28.27,1.657,5.61,5.039,0.189,3.295,35.0
37,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,829,60.9,0.0743,1.0066,61.56,1.171,22.04,2.793,0.074,2.125,37.0
38,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,473,55.8,-0.0532,1.2326,-25.18,0.898,46.25,-0.544,-0.043,-0.939,38.2
39,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,321,57.0,-0.0819,1.269,-26.3,0.852,41.63,-0.632,-0.065,-1.156,40.4
40,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,339,55.2,-0.0838,1.3075,-28.4,0.847,50.35,-0.564,-0.064,-1.18,40.400000000000006
41,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1981,57.2,-0.0877,2.8789,-173.77,0.854,279.96,-0.621,-0.03,-1.356,41.400000000000006
42,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4085,56.4,-0.0766,2.2194,-312.81,0.865,406.16,-0.77,-0.035,-2.206,44.0
43,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1245,54.0,-0.0516,0.8416,-64.27,0.842,79.04,-0.813,-0.061,-2.163,44.00000000000001
44,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,446,56.5,-0.1152,1.3981,-51.37,0.8,65.25,-0.787,-0.082,-1.74,45.2
45,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,857,51.2,-0.0825,0.8905,-70.72,0.762,83.87,-0.843,-0.093,-2.712,47.800000000000004
46,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,524,53.1,-0.3017,4.7934,-158.11,0.589,174.76,-0.905,-0.063,-1.441,49.0
47,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1267,52.7,-0.0805,0.9086,-102.05,0.762,110.7,-0.922,-0.089,-3.154,49.60000000000001
48,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,381,51.4,-0.4189,5.5846,-159.58,0.499,175.73,-0.908,-0.075,-1.464,51.199999999999996
49,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,872,49.5,-0.091,0.8426,-79.32,0.734,84.64,-0.937,-0.108,-3.189,51.800000000000004
50,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3523,51.4,-0.119,2.1837,-419.27,0.741,454.5,-0.922,-0.054,-3.235,52.0
51,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1962,55.3,-0.1309,1.7868,-256.9,0.771,280.58,-0.916,-0.073,-3.245,52.4
52,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6335,53.6,-0.0932,1.8091,-590.61,0.798,628.73,-0.939,-0.052,-4.1,54.6
53,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,155,47.1,-0.9769,8.6332,-151.42,0.255,155.71,-0.972,-0.113,-1.409,55.0
