rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,total_r,pf,max_dd
125,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6335,53.6,-0.093,-590.61,0.8,628.73
126,H1-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,834,40.0,-0.71,-592.16,0.3,591.56
127,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1484,41.2,-0.435,-645.71,0.42,645.85
128,H1-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,1286,47.7,-0.547,-703.33,0.43,705.93
129,H1-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,2126,51.6,-0.339,-719.98,0.56,723.33
130,H1-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,954,38.1,-0.759,-724.29,0.27,726.51
131,H4-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,2448,44.3,-0.326,-799.09,0.51,799.39
132,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6492,51.6,-0.128,-831.79,0.72,839.72
133,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1957,39.8,-0.428,-837.32,0.42,837.13
134,H1-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,1480,41.1,-0.577,-853.57,0.36,854.59
135,H1-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,9954,56.1,-0.088,-875.25,0.8,910.98
136,H1-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,2220,48.5,-0.425,-943.15,0.48,944.17
137,H1-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3109,32.2,-0.304,-944.63,0.39,943.57
138,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3896,44.3,-0.252,-983.18,0.5,984.97
139,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3351,41.8,-0.293,-983.33,0.41,984.05
140,H1-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,2956,45.8,-0.338,-998.71,0.52,1006.5
141,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4713,48.4,-0.215,-1015.2,0.66,1018.81
142,H1-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,10040,55.9,-0.102,-1026.1,0.76,1056.14
143,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,3155,42.1,-0.356,-1124.64,0.49,1127.05
144,H1-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3242,32.6,-0.348,-1127.06,0.34,1128.25
145,H1-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,6259,51.1,-0.19,-1190.7,0.69,1210.49
146,H1-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,6141,47.5,-0.197,-1207.86,0.56,1214.06
147,H1-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,5314,37.4,-0.235,-1250.3,0.47,1249.96
148,H1-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3117,21.9,-0.404,-1258.06,0.17,1257.03
149,H1-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,4976,49.0,-0.255,-1270.55,0.61,1278.9
150,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,4063,39.2,-0.325,-1320.93,0.38,1321.12
151,H1-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,16482,57.7,-0.081,-1328.75,0.81,1360.15
152,H1-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3534,25.7,-0.379,-1340.76,0.23,1339.73
153,H4-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,4114,39.2,-0.329,-1352.04,0.38,1352.23
154,H1-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,9910,50.9,-0.143,-1414.79,0.66,1422.22
155,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,5760,43.5,-0.268,-1541.34,0.48,1544.39
156,H1-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,5484,36.6,-0.282,-1545.02,0.4,1547.48
157,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6868,46.0,-0.227,-1555.98,0.56,1559.09
158,H1-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3718,24.1,-0.445,-1654.82,0.19,1653.79
159,H1-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,10507,53.0,-0.159,-1667.5,0.73,1685.3
160,H1-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,3766,24.4,-0.453,-1704.41,0.19,1703.38
161,H1-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,5309,50.7,-0.356,-1892.25,0.57,1896.42
162,H1-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,5049,26.4,-0.387,-1953.21,0.2,1953.49
163,H1-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,5512,50.6,-0.358,-1972.42,0.54,1973.59
164,H4-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4821,43.4,-0.411,-1982.18,0.46,1984.63
165,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4141,40.5,-0.488,-2018.83,0.4,2021.34
166,H1-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,5874,30.9,-0.348,-2044.81,0.28,2045.37
167,H1-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,6127,28.1,-0.374,-2293.02,0.25,2293.18
168,H1-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,6209,28.5,-0.377,-2343.46,0.24,2343.62
169,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,7127,41.4,-0.369,-2631.65,0.39,2634.57
170,H4-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,7210,41.3,-0.37,-2668.34,0.39,2671.21
171,M15-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,M15-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,2572,46.7,-1.164,-2993.42,0.27,3003.65
172,H1-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,4524,33.0,-0.662,-2996.55,0.27,2997.59
173,H1-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,7459,43.2,-0.447,-3335.73,0.45,3338.82
174,H1-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,5970,35.5,-0.657,-3923.75,0.28,3923.16
175,H1-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,10862,50.7,-0.379,-4115.74,0.52,4119.29
176,H1-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,8022,41.9,-0.514,-4126.56,0.39,4127.21
177,H1-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,10689,52.4,-0.423,-4520.61,0.52,4523.53
178,M15-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,M15-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,4517,47.9,-1.016,-4591.51,0.31,4687.96
179,H1-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,12911,33.3,-0.39,-5030.07,0.37,5029.99
180,H1-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,13676,33.9,-0.39,-5332.37,0.35,5333.43
181,H1-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,8681,34.9,-0.707,-6136.65,0.27,6140.59
182,H1-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,14030,44.8,-0.485,-6798.33,0.43,6802.8
183,H1-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,13991,25.5,-0.493,-6897.81,0.19,6896.73
184,H1-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,15537,28.2,-0.47,-7296.58,0.23,7295.5
185,H1-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,11479,36.2,-0.666,-7650.29,0.29,7650.04
186,H1-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,14834,42.0,-0.531,-7881.36,0.38,7882.51
187,H1-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,16438,26.0,-0.519,-8538.75,0.2,8538.61
188,H1-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,23948,38.1,-0.361,-8656.71,0.39,8660.2
189,H1-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,23002,39.0,-0.378,-8695.0,0.4,8696.85
190,H1-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,16692,26.3,-0.522,-8707.82,0.2,8707.67
191,M15-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,M15-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,12767,17.3,-0.696,-8880.82,0.13,8881.7
192,H1-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,23501,30.0,-0.479,-11258.72,0.23,11261.54
193,M15-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,M15-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,13332,43.0,-0.854,-11385.13,0.32,11387.67
194,H1-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,26707,33.1,-0.459,-12261.99,0.27,12265.58
195,M15-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,M15-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,20515,19.5,-0.648,-13302.12,0.16,13348.78
196,H1-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,28032,29.8,-0.5,-14011.46,0.23,14011.9
197,H1-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,28459,30.0,-0.502,-14274.83,0.23,14275.27
198,M15-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,M15-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,53542,17.1,-0.711,-38056.65,0.14,38055.64
M15-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,M15-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,23717,43.5,-0.822,-19501.36,0.34,19556.91
M15-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,M15-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,86572,19.3,-0.683,-59110.26,0.16,59111.13
M15-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,M15-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,5029,64.2,-1.129,-5678.79,0.33,5700.34
M15-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,M15-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,12298,50.2,-0.533,-6555.47,0.35,6572.5
M15-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,M15-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,30176,59.2,-0.998,-30111.74,0.35,30149.93
M15-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,M15-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,23717,43.5,-0.822,-19501.36,0.34,19556.91
