rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,total_r,pf,max_dd
25,H4-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,3177,68.9,0.169,536.07,1.55,12.23
26,H1-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H1-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,1814,72.7,0.295,535.78,1.92,12.56
27,H4-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,2493,66.7,0.208,517.89,1.57,11.17
28,H1-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,3178,66.3,0.162,513.59,1.67,69.39
29,H1-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H1-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,10951,64.0,0.044,477.48,1.08,238.82
30,H1-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,1261,78.7,0.339,427.17,1.81,70.73
31,H1-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,8723,65.2,0.049,426.6,1.11,304.78
32,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,3885,64.6,0.108,420.0,1.3,33.06
33,H1-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,5628,70.2,0.074,418.72,1.12,303.41
34,H1-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,1080,76.6,0.36,388.7,2.07,22.2
35,H1-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,1408,72.2,0.271,381.16,1.7,29.52
36,H1-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,4791,65.0,0.071,342.37,1.38,22.23
37,H1-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,10574,61.7,0.031,327.69,1.06,125.88
38,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,2942,61.1,0.107,313.43,1.25,31.57
39,H1-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,1236,70.5,0.241,298.46,1.69,18.46
40,H1-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,22981,62.4,0.012,283.04,1.03,423.78
41,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,2394,65.0,0.109,261.34,1.34,15.8
42,H1-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,2040,62.8,0.126,257.8,1.47,29.89
43,H1-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,822,75.5,0.3,246.22,1.67,29.52
44,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,2269,65.7,0.102,231.5,1.3,17.32
45,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,909,77.9,0.219,198.94,2.34,6.88
46,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,669,77.4,0.295,197.45,3.1,12.28
47,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_OFF,PD_ON,1592,61.9,0.118,187.95,1.28,20.55
48,H1-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,946,68.2,0.184,173.8,1.4,29.52
49,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,667,78.9,0.258,171.78,2.86,3.79
50,H4-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,490,78.2,0.316,154.69,3.41,12.28
51,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,1601,61.1,0.094,150.64,1.22,21.65
52,H4-M15|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,228,85.1,0.623,142.09,4.3,9.31
53,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,240,84.2,0.566,135.84,4.4,4.07
54,H1-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,3071,62.1,0.043,131.21,1.2,23.78
55,H4-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,936,75.2,0.129,120.6,1.77,4.91
56,H4-M5|OB_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,255,78.4,0.47,119.97,2.9,7.9
57,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,1421,64.7,0.081,115.72,1.27,19.0
58,H4-M15|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,180,85.6,0.616,110.89,4.19,9.31
59,H4-M5|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,282,75.9,0.381,107.55,2.52,5.61
60,H4-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,686,72.0,0.156,107.16,2.05,5.45
61,H4-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,683,77.0,0.157,107.1,2.06,5.58
62,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,191,84.3,0.559,106.78,4.38,3.05
63,H4-M5|OB_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,197,79.2,0.523,103.03,3.41,4.59
64,H4-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,223,76.7,0.399,89.03,2.65,4.59
65,H4-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,506,71.9,0.172,87.17,2.26,5.45
66,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,682,73.6,0.114,77.45,1.69,5.99
67,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,498,75.3,0.138,68.78,1.93,4.86
68,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,829,60.9,0.074,61.56,1.17,22.04
69,H1-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,3441,54.6,0.014,47.58,1.06,41.68
70,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,421,68.6,0.096,40.41,1.67,3.89
71,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,305,66.9,0.093,28.27,1.66,5.61
72,H4-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,121,68.6,0.199,24.11,1.61,6.54
73,H4-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,99,69.7,0.211,20.89,1.67,6.79
74,H4-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,66,75.8,0.301,19.83,2.15,3.02
75,H4-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,54,70.4,0.214,11.54,1.67,4.04
76,H1-M5|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_OFF,H1-M5,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_OFF,14161,61.3,0.0,4.93,1.0,332.75
77,H1-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,3479,59.6,0.0,0.5,1.0,35.23
78,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,473,55.8,-0.053,-25.18,0.9,46.25
79,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,321,57.0,-0.082,-26.3,0.85,41.63
80,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,339,55.2,-0.084,-28.4,0.85,50.35
81,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,446,56.5,-0.115,-51.37,0.8,65.25
82,H4-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,399,50.6,-0.154,-61.52,0.72,70.65
83,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,254,46.1,-0.252,-63.89,0.58,67.73
84,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1245,54.0,-0.052,-64.27,0.84,79.04
85,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,857,51.2,-0.083,-70.72,0.76,83.87
86,H1-M5|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H1-M5,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,729,54.2,-0.098,-71.43,0.81,85.05
87,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,872,49.5,-0.091,-79.32,0.73,84.64
88,H1-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_OFF|PD_ON,H1-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_OFF,PD_ON,6692,62.1,-0.013,-83.7,0.98,312.8
89,H1-M15|OB+FVG|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,OB+FVG,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,2234,50.7,-0.039,-88.02,0.86,105.23
90,H1-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,2206,55.8,-0.044,-97.38,0.82,104.91
91,H1-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,279,39.8,-0.353,-98.51,0.49,103.8
92,H1-M5|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_ON,485,49.5,-0.204,-98.97,0.65,103.45
93,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1267,52.7,-0.081,-102.05,0.76,110.7
94,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,359,44.6,-0.288,-103.47,0.54,108.09
95,H1-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_ON,401,44.6,-0.259,-103.7,0.59,116.68
96,H4-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,547,49.0,-0.217,-118.46,0.64,121.72
97,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,155,47.1,-0.977,-151.42,0.25,155.71
98,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,210,47.6,-0.752,-157.83,0.32,159.78
99,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,524,53.1,-0.302,-158.11,0.59,174.76
100,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,381,51.4,-0.419,-159.58,0.5,175.73
101,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1981,57.2,-0.088,-173.77,0.85,279.96
102,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,950,40.2,-0.192,-182.03,0.46,182.64
103,H4-M5|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,963,40.1,-0.202,-194.27,0.44,193.52
104,H1-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,950,55.6,-0.218,-206.92,0.69,207.98
105,H1-M15|FVG_only|Confirm(MSS)|GO_Sessions|Strong_ON|PD_OFF,H1-M15,FVG_only,Confirm(MSS),GO_Sessions,Strong_ON,PD_OFF,1353,39.8,-0.163,-220.26,0.48,222.56
106,H1-M15|FVG_only|Confirm(MSS)|All_Sessions|Strong_ON|PD_OFF,H1-M15,FVG_only,Confirm(MSS),All_Sessions,Strong_ON,PD_OFF,2095,44.0,-0.108,-226.09,0.6,231.25
107,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,756,41.7,-0.317,-239.67,0.31,240.09
108,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1355,43.8,-0.183,-247.35,0.49,249.98
109,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1962,55.3,-0.131,-256.9,0.77,280.58
110,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,906,43.9,-0.288,-260.74,0.37,260.87
111,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1065,45.2,-0.246,-261.95,0.39,264.0
112,H4-M5|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1376,43.5,-0.193,-265.7,0.47,266.15
113,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1302,47.5,-0.217,-282.4,0.47,284.68
114,H1-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,1751,57.0,-0.171,-298.74,0.74,307.69
115,H1-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,538,37.7,-0.576,-309.78,0.34,308.84
116,H4-M15|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4085,56.4,-0.077,-312.81,0.86,406.16
117,H1-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,1205,50.1,-0.297,-357.29,0.59,357.22
118,H1-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H1-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,938,56.5,-0.391,-366.96,0.55,373.61
119,H4-M15|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3523,51.4,-0.119,-419.27,0.74,454.5
120,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4083,54.1,-0.127,-517.58,0.78,545.13
121,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3611,49.7,-0.144,-521.24,0.67,523.12
122,H1-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H1-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,1708,56.0,-0.315,-537.55,0.59,548.12
123,H1-M15|OB+FVG|Confirm(MSS)|All_Sessions|Strong_OFF|PD_OFF,H1-M15,OB+FVG,Confirm(MSS),All_Sessions,Strong_OFF,PD_OFF,16030,59.1,-0.034,-537.64,0.92,717.88
124,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,2383,49.2,-0.232,-552.06,0.65,589.26
