trigger_time,session,direction,entry_time,entry_type,entry_price,stop,target,htf_mid,r_distance,exit_time,exit_reason,n_partials,realized_r,pnl_usd,lot_size,balance_after,month
2022-07-25 12:00:00+00:00,ny_am_kz,bull,2022-07-25 13:10:00+00:00,OB,1.02389,1.0222072591268851,1.02578,1.024335,0.0016827408731148186,2022-07-25 14:25:00+00:00,stop,0,-1.03,-1099.69,6.3448,105666.34,2022-07
2022-07-26 17:00:00+00:00,ny_pm,bear,2022-07-26 18:00:00+00:00,OB,1.01244,1.0133196682867436,1.01074,1.0117699999999998,0.0008796682867435734,2022-07-26 22:10:00+00:00,stop,1,0.443,468.1,12.0121,106134.44,2022-07
2022-08-02 15:00:00+00:00,london_close,bear,2022-08-02 16:00:00+00:00,OB,1.02018,1.0214058623382862,1.0181,1.01963,0.0012258623382861433,2022-08-02 17:20:00+00:00,all_targets,3,1.308,1388.24,8.6579,107522.68,2022-08
2022-08-05 19:00:00+00:00,ny_pm,bear,2022-08-05 20:00:00+00:00,OB,1.01786,1.0185299186092656,1.0172,1.0178,0.000669918609265574,2022-08-07 22:00:00+00:00,all_targets,3,0.911,979.53,16.0501,108502.21,2022-08
2022-08-19 20:00:00+00:00,off_hours,bear,2022-08-21 21:10:00+00:00,OB,1.00385,1.0043391794312748,1.00318,1.00362,0.0004891794312749109,2022-08-21 22:00:00+00:00,all_targets,3,1.083,1175.08,22.1805,109677.29,2022-08
2022-08-21 23:00:00+00:00,off_hours,bull,2022-08-22 00:05:00+00:00,OB,1.00308,1.0029900758317793,1.00404,1.003565,8.99241682206231e-05,2022-08-22 00:20:00+00:00,stop,2,0.744,816.0,121.9664,110493.29,2022-08
2022-09-01 18:00:00+00:00,ny_pm,bear,2022-09-01 19:00:00+00:00,OB,0.99478,0.9960533178378258,0.99354,0.99448,0.0012733178378258048,2022-09-02 01:35:00+00:00,stop,0,-1.039,-1148.03,8.6776,109345.26,2022-09
2022-09-05 00:00:00+00:00,asian_kz,bear,2022-09-05 01:00:00+00:00,OB,0.99195,0.9929622138850761,0.99061,0.9916,0.0010122138850761075,2022-09-05 02:20:00+00:00,all_targets,3,1.113,1217.01,10.8026,110562.27,2022-09
2022-09-07 03:00:00+00:00,asian,bull,2022-09-07 04:20:00+00:00,OB,0.98809,0.987639466232296,0.98927,0.988515,0.0004505337677039867,2022-09-07 04:35:00+00:00,all_targets,3,1.513,1672.81,24.5403,112235.08,2022-09
2022-09-19 07:00:00+00:00,london_kz,bull,2022-09-19 08:00:00+00:00,OB,0.99758,0.9965222685001199,0.99868,0.99776,0.001057731499880088,2022-09-19 09:15:00+00:00,stop,1,0.453,508.42,10.6109,112743.5,2022-09
2022-09-19 16:00:00+00:00,ny_pm,bull,2022-09-19 17:15:00+00:00,OB,1.00071,1.0000172844859592,1.00181,1.000975,0.0006927155140408203,2022-09-19 19:00:00+00:00,all_targets,3,1.222,1377.73,16.2756,114121.23,2022-09
2022-09-23 10:00:00+00:00,london,bear,2022-09-23 11:00:00+00:00,OB,0.9757,0.9772374328630241,0.97361,0.975255,0.0015374328630241019,2022-09-23 11:55:00+00:00,stop,1,0.467,532.95,7.4228,114654.18,2022-09
2022-09-26 19:00:00+00:00,ny_pm,bear,2022-09-26 20:00:00+00:00,OB,0.96136,0.9628260535082879,0.95995,0.9609099999999999,0.001466053508287879,2022-09-26 22:15:00+00:00,all_targets,3,0.928,1063.99,7.8206,115718.17,2022-09
2022-09-27 06:00:00+00:00,london_kz,bear,2022-09-27 07:00:00+00:00,OB,0.96469,0.9671168501925935,0.96348,0.96451,0.002426850192593477,2022-09-27 08:00:00+00:00,all_targets,3,0.478,553.13,4.7682,116271.3,2022-09
2022-10-05 03:00:00+00:00,asian,bull,2022-10-05 04:05:00+00:00,OB,0.9966,0.9958749010145819,0.99747,0.99674,0.0007250989854181711,2022-10-05 05:05:00+00:00,all_targets,3,1.031,1198.76,16.0352,117470.06,2022-10
2022-10-06 04:00:00+00:00,asian,bull,2022-10-06 05:05:00+00:00,OB,0.99148,0.990889173802503,0.99264,0.991975,0.000590826197497063,2022-10-06 06:00:00+00:00,stop,1,0.415,487.5,19.8823,117957.56,2022-10
2022-10-12 14:00:00+00:00,london_close,bull,2022-10-12 16:00:00+00:00,OB,0.96878,0.9667068817905082,0.9711,0.97005,0.002073118209491742,2022-10-12 18:10:00+00:00,all_targets,3,1.035,1220.86,5.6899,119178.42,2022-10
2022-10-14 10:00:00+00:00,london,bear,2022-10-14 11:15:00+00:00,OB,0.97369,0.9758285631912458,0.97191,0.9736400000000001,0.0021385631912457237,2022-10-14 11:50:00+00:00,all_targets,3,0.809,964.15,5.5728,120142.57,2022-10
2022-10-19 13:00:00+00:00,ny_am_kz,bear,2022-10-19 14:20:00+00:00,OB,0.9786,0.9796644080030958,0.97643,0.977395,0.001064408003095818,2022-10-19 14:25:00+00:00,stop,0,-1.047,-1257.89,11.2873,118884.68,2022-10
2022-10-20 09:00:00+00:00,london,bull,2022-10-20 10:00:00+00:00,OB,0.97793,0.9772039450747189,0.97922,0.9782599999999999,0.0007260549252811055,2022-10-20 10:25:00+00:00,stop,1,0.431,512.39,16.3741,119397.07,2022-10
2022-10-24 09:00:00+00:00,london,bull,2022-10-24 10:05:00+00:00,OB,0.98273,0.9805805085490888,0.98427,0.98295,0.002149491450911145,2022-10-24 11:45:00+00:00,all_targets,3,0.693,827.42,5.5547,120224.49,2022-10
2022-10-27 14:00:00+00:00,london_close,bear,2022-10-27 15:10:00+00:00,OB,1.00067,1.0045104065261372,0.99723,1.00011,0.0038404065261372633,2022-10-27 16:55:00+00:00,all_targets,3,0.883,1061.58,3.1305,121286.07,2022-10
2022-11-02 07:00:00+00:00,london_kz,bull,2022-11-02 08:00:00+00:00,OB,0.98828,0.9870518889262169,0.98894,0.9883850000000001,0.001228111073783178,2022-11-02 08:05:00+00:00,all_targets,3,0.497,602.79,9.8758,121888.86,2022-11
2022-11-08 06:00:00+00:00,asian,bear,2022-11-08 07:00:00+00:00,OB,1.00018,1.0007999151140308,0.99952,1.000125,0.0006199151140307002,2022-11-08 07:05:00+00:00,all_targets,3,0.952,1160.38,19.6622,123049.24,2022-11
