trigger_time,session,direction,entry_time,entry_type,entry_price,stop,target,htf_mid,r_distance,exit_time,exit_reason,n_partials,realized_r,pnl_usd,lot_size,balance_after,month
2022-05-20 20:00:00+00:00,off_hours,bear,2022-05-22 21:00:00+00:00,OB,127.89,127.9530393081398,127.702,127.779,0.06303930813979264,2022-05-22 22:00:00+00:00,stop,1,0.373,373.0,20.2873,100373.0,2022-05
2022-05-27 12:00:00+00:00,ny_am_kz,bull,2022-05-27 13:50:00+00:00,OB,126.883,126.81877911071695,127.106,126.988,0.06422088928304959,2022-05-27 14:25:00+00:00,stop,0,-1.125,-1129.2,19.831,99243.8,2022-05
2022-06-01 08:00:00+00:00,london_kz,bull,2022-06-01 09:05:00+00:00,OB,129.424,129.2186864882413,129.542,129.437,0.20531351175870327,2022-06-01 11:20:00+00:00,all_targets,3,0.536,531.95,6.2561,99775.75,2022-06
2022-06-01 09:00:00+00:00,london,bear,2022-06-01 10:20:00+00:00,OB,129.394,129.49326423430418,129.225,129.3555,0.0992642343041723,2022-06-01 11:15:00+00:00,stop,0,-1.081,-1078.58,13.0061,98697.17,2022-06
2022-06-05 22:00:00+00:00,off_hours,bear,2022-06-05 23:05:00+00:00,OB,130.847,130.9990725799269,130.779,130.829,0.15207257992688028,2022-06-05 23:45:00+00:00,all_targets,3,0.395,389.85,8.4921,99087.02,2022-06
2022-06-07 08:00:00+00:00,london_kz,bull,2022-06-07 09:05:00+00:00,OB,132.666,132.5349823690976,132.826,132.6925,0.1310176309023916,2022-06-07 10:55:00+00:00,all_targets,3,1.05,1040.41,10.0334,100127.43,2022-06
2022-06-09 20:00:00+00:00,off_hours,bear,2022-06-09 22:15:00+00:00,OB,134.444,134.4486014981114,134.259,134.345,0.0046014981114126385,2022-06-09 22:35:00+00:00,stop,2,-0.439,-439.56,292.5467,99687.87,2022-06
2022-06-16 04:00:00+00:00,asian,bull,2022-06-16 05:05:00+00:00,OB,134.352,134.21351050766202,134.479,134.364,0.1384894923379818,2022-06-16 06:00:00+00:00,stop,0,-1.058,-1054.7,9.671,98633.17,2022-06
2022-06-29 01:00:00+00:00,asian_kz,bull,2022-06-29 02:00:00+00:00,OB,136.06,135.88331099516878,136.197,136.06900000000002,0.17668900483121774,2022-06-29 03:25:00+00:00,all_targets,3,0.73,720.02,7.5953,99353.19,2022-06
2022-06-30 17:00:00+00:00,ny_pm,bull,2022-06-30 18:05:00+00:00,OB,135.643,135.55492777636886,135.759,135.66199999999998,0.0880722236311442,2022-06-30 19:00:00+00:00,stop,0,-1.091,-1083.94,15.3017,98269.25,2022-06
