side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2023-05-03 22:00:00+00:00,2049.965,2082.0107934941834,1953.8276195174503,2023-05-04 14:00:00+00:00,2045.0700000000002,timeout,0.15275015739237313,3.787364954117501,2079.778,1683147600000000000,-1,0.007801335924023172,0.14494882146834995
short,2023-08-01 03:15:00+00:00,1960.875,1961.8965696404673,1957.810291078598,2023-08-01 03:45:00+00:00,1961.8965696404673,stop,-1.0,1.1883719258328593,1961.135,1690534800000000000,-1,0.3028854656938542,-1.3028854656938542
short,2023-08-01 07:15:00+00:00,1956.185,1957.6329299816916,1951.8412100549249,2023-08-01 12:00:00+00:00,1951.8412100549249,target,3.0,1.8341111314262384,1957.045,1690779600000000000,-1,0.17266028272162232,2.827339717278378
short,2023-08-01 14:00:00+00:00,1947.395,1954.658661681935,1925.604014954195,2023-08-02 07:00:00+00:00,1948.595,timeout,-0.165205932289563,1.6303260409872045,1953.755,1690894800000000000,-1,0.03441790256032432,-0.19962383484988733
short,2023-09-01 11:30:00+00:00,1943.988,1946.0705223195025,1937.7404330414927,2023-09-01 12:00:00+00:00,1946.0705223195025,stop,-1.0,1.0044042856445516,1944.005,1693530000000000000,-1,0.14416182312704046,-1.1441618231270405
short,2023-09-01 12:30:00+00:00,1948.215,1953.3803489657253,1932.718953102824,2023-09-04 05:30:00+00:00,1945.1465,timeout,0.5940547328672042,0.867900051887586,1948.965,1693400400000000000,-1,0.04839944051386929,0.545655292353335
short,2023-09-04 12:45:00+00:00,1939.865,1940.717608115415,1937.307175653755,2023-09-04 14:00:00+00:00,1937.307175653755,target,3.0,1.0981226014260612,1940.255,1693515600000000000,-1,0.2932179455954483,2.7067820544045516
short,2023-09-06 11:00:00+00:00,1925.828,1927.2464023243726,1921.572793026882,2023-09-06 13:00:00+00:00,1921.572793026882,target,3.0,1.3610538585539003,1926.835,1693947600000000000,-1,0.17625464630465185,2.8237453536953483
short,2023-09-06 22:15:00+00:00,1917.855,1918.4614715326818,1916.0355854019547,2023-09-07 01:15:00+00:00,1918.4614715326818,stop,-1.0,0.9164329662566747,1918.105,1694034000000000000,-1,0.487774994161273,-1.487774994161273
short,2023-09-07 10:00:00+00:00,1920.535,1921.4161911113113,1917.8914266660665,2023-09-07 11:00:00+00:00,1921.4161911113113,stop,-1.0,1.137213203713574,1920.615,1694048400000000000,-1,0.3482339486256059,-1.3482339486256059
