side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2023-10-03 12:15:00+00:00,1827.165,1830.2764085594656,1817.830774321603,2023-10-03 13:30:00+00:00,1830.2764085594656,stop,-1.0,2.5999561397389526,1829.655,1696323600000000000,-1,0.12213047554648648,-1.1221304755464865
short,2023-10-04 15:15:00+00:00,1824.205,1827.1916487703138,1815.2450536890583,2023-10-05 01:00:00+00:00,1827.1916487703138,stop,-1.0,1.5037534073673646,1824.945,1696366800000000000,-1,0.10888045276719738,-1.1088804527671974
short,2023-10-05 10:30:00+00:00,1822.855,1824.2528484218046,1818.6614547345862,2023-10-05 12:30:00+00:00,1818.6614547345862,target,3.0,2.0549504939009746,1823.585,1696438800000000000,-1,0.17884628697956542,2.8211537130204345
short,2023-10-05 23:00:00+00:00,1822.028,1823.386070966393,1817.9537871008213,2023-10-06 02:15:00+00:00,1823.386070966393,stop,-1.0,1.2582705822439535,1822.998,1696539600000000000,-1,0.23041029287542097,-1.230410292875421
short,2023-10-06 04:15:00+00:00,1824.195,1824.7591432161817,1822.5025703514548,2023-10-06 05:00:00+00:00,1822.5025703514548,target,3.0,0.9063977720497275,1824.475,1696554000000000000,-1,0.4431498825636346,2.5568501174363654
short,2023-10-06 09:00:00+00:00,1821.705,1822.522376006872,1819.2528719793836,2023-10-06 10:00:00+00:00,1822.522376006872,stop,-1.0,1.389706574714681,1821.805,1696510800000000000,-1,0.39086702576250476,-1.3908670257625046
long,2023-10-20 17:15:00+00:00,1982.545,1972.8745294907371,2011.556411527789,2023-10-22 22:00:00+00:00,1972.8745294907371,stop,-1.0,3.891462564260889,1974.255,1697821200000000000,1,0.045972233490315324,-1.0459722334903154
long,2023-10-23 04:00:00+00:00,1973.755,1971.908911748199,1979.2932647554035,2023-10-23 07:30:00+00:00,1979.2932647554035,target,3.0,2.235060170490327,1973.185,1697792400000000000,1,0.13542147822894687,2.8645785217710533
long,2024-07-17 06:15:00+00:00,2463.545,2460.6391307628483,2472.2626077114555,2024-07-17 07:45:00+00:00,2472.2626077114555,target,3.0,3.670205602269288,2461.718,1721192400000000000,1,0.08603277697555205,2.9139672230244478
