side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2022-11-10 16:30:00+00:00,1748.858,1752.389212107586,1738.2643636772418,2022-11-10 19:30:00+00:00,1752.389212107586,stop,-1.0,3.136105240828677,1748.958,1661139900000000000,-1,0.11520272632943827,-1.1152027263294382
short,2022-11-10 20:30:00+00:00,1753.038,1754.9472214945592,1747.3103355163223,2022-11-10 20:45:00+00:00,1754.9472214945592,stop,-1.0,2.831876054588499,1753.574,1661270400000000000,-1,0.20510653365539921,-1.2051065336553992
short,2022-11-10 21:00:00+00:00,1755.828,1757.8483797580639,1749.7668607258083,2022-11-11 01:15:00+00:00,1749.7668607258083,target,3.0,2.249514597700185,1757.004,1659046500000000000,-1,0.12373911340290476,2.876260886597095
short,2022-11-11 01:45:00+00:00,1747.368,1749.4023081127725,1741.2650756616822,2022-11-11 02:00:00+00:00,1749.4023081127725,stop,-1.0,2.238501301438547,1747.468,1661345100000000000,-1,0.17791064332858417,-1.1779106433285842
short,2022-11-11 02:30:00+00:00,1750.438,1752.4813062039946,1744.3080813880167,2022-11-11 02:45:00+00:00,1752.4813062039946,stop,-1.0,2.2949953933164875,1750.868,1660929300000000000,-1,0.17850959829357668,-1.1785095982935767
short,2022-11-11 03:15:00+00:00,1751.168,1753.6006238083733,1743.8701285748798,2022-11-11 05:00:00+00:00,1753.6006238083733,stop,-1.0,1.9562962347218507,1752.387,1657294200000000000,-1,0.14297928456462314,-1.1429792845646232
short,2022-11-11 05:30:00+00:00,1760.248,1763.7020016280633,1749.8859951158104,2022-11-11 06:00:00+00:00,1763.7020016280633,stop,-1.0,2.6125250874607087,1761.438,1659546000000000000,-1,0.11019863201004496,-1.110198632010045
short,2022-11-11 06:15:00+00:00,1758.468,1761.691396274364,1748.7978111769082,2022-11-11 07:30:00+00:00,1761.691396274364,stop,-1.0,2.783650753762389,1758.654,1661406300000000000,-1,0.1207367957775884,-1.1207367957775884
short,2022-11-11 09:15:00+00:00,1761.908,1764.8456074453416,1753.095177663975,2022-11-11 10:00:00+00:00,1764.8456074453416,stop,-1.0,3.043546595500137,1762.358,1659330000000000000,-1,0.13690642376766993,-1.13690642376767
short,2022-11-11 10:30:00+00:00,1763.628,1766.566789859142,1754.8116304225734,2022-11-11 18:00:00+00:00,1766.566789859142,stop,-1.0,2.9284888408634857,1763.968,1659315600000000000,-1,0.13489376955958712,-1.134893769559587
short,2022-12-09 10:00:00+00:00,1793.698,1795.203740220889,1789.1807793373337,2022-12-09 11:00:00+00:00,1795.203740220889,stop,-1.0,1.7867200861453747,1794.318,1660091400000000000,-1,0.22536158601579026,-1.2253615860157903
short,2022-12-09 11:30:00+00:00,1798.378,1800.7445240222835,1791.2784279331493,2022-12-09 11:45:00+00:00,1800.7445240222835,stop,-1.0,2.1118600689728164,1798.948,1669955400000000000,-1,0.15025962132660478,-1.1502596213266048
short,2022-12-09 12:30:00+00:00,1800.598,1802.2240000260422,1795.7199999218733,2022-12-09 13:15:00+00:00,1802.2240000260422,stop,-1.0,2.0325097876759743,1800.908,1669988700000000000,-1,0.21625183502590456,-1.2162518350259046
short,2022-12-09 14:30:00+00:00,1797.868,1800.095946350997,1791.1841609470084,2022-12-09 15:00:00+00:00,1800.095946350997,stop,-1.0,3.5071587299066946,1798.224,1660063500000000000,-1,0.19091929045102696,-1.1909192904510268
short,2022-12-11 23:00:00+00:00,1796.017,1797.6305364043067,1791.1763907870802,2022-12-12 01:00:00+00:00,1791.1763907870802,target,3.0,1.7618568378312554,1796.664,1660535100000000000,-1,0.15493917542407887,2.845060824575921
short,2022-12-12 01:30:00+00:00,1791.208,1793.3757762330513,1784.7046713008465,2022-12-12 11:15:00+00:00,1793.3757762330513,stop,-1.0,1.6279074293346987,1791.494,1659632400000000000,-1,0.15287342227213535,-1.1528734222721353
short,2023-01-13 17:30:00+00:00,1915.878,1917.9793022657018,1909.5740932028943,2023-01-13 18:00:00+00:00,1917.9793022657018,stop,-1.0,2.970880661626034,1916.355,1673627400000000000,-1,0.18966525643952659,-1.1896652564395267
long,2023-01-26 14:45:00+00:00,1932.658,1928.3204395241999,1945.6706814274,2023-01-26 15:30:00+00:00,1928.3204395241999,stop,-1.0,3.6165230385480336,1930.055,1674581400000000000,1,0.09932452915205464,-1.0993245291520546
long,2023-01-26 16:15:00+00:00,1925.525,1917.3502614305003,1950.0492157084996,2023-01-27 09:15:00+00:00,1926.743,timeout,0.1489955904576862,1.8409563973776732,1924.715,1674505800000000000,1,0.03058201774583434,0.11841357271185186
long,2023-01-27 10:15:00+00:00,1928.058,1926.4544754191054,1932.8685737426838,2023-01-27 13:15:00+00:00,1932.8685737426838,target,3.0,2.0340957036768748,1927.515,1674211500000000000,1,0.15590655920006288,2.844093440799937
long,2023-01-27 14:30:00+00:00,1924.625,1920.8487766010226,1935.9536701969323,2023-01-27 15:45:00+00:00,1920.8487766010226,stop,-1.0,3.617758911691638,1924.318,1674815400000000000,1,0.11410552291510669,-1.1141055229151067
short,2023-03-10 15:00:00+00:00,1859.315,1863.1520754516423,1847.8037736450733,2023-03-10 15:15:00+00:00,1863.1520754516423,stop,-1.0,4.105971636035715,1859.573,1654704900000000000,-1,0.11865770885660332,-1.1186577088566034
short,2023-03-10 17:45:00+00:00,1864.098,1866.216933657485,1857.7411990275448,2023-03-10 20:30:00+00:00,1866.216933657485,stop,-1.0,3.064226973297855,1864.218,1673023500000000000,-1,0.19028974656217423,-1.1902897465621742
short,2023-03-10 21:45:00+00:00,1867.448,1869.0634475089973,1862.6016574730083,2023-03-12 22:00:00+00:00,1869.0634475089973,stop,-1.0,4.422289908801392,1867.738,1654258500000000000,-1,0.2916309523003336,-1.2916309523003335
short,2023-03-12 22:30:00+00:00,1881.514,1887.871627032532,1862.4411189024038,2023-03-12 23:00:00+00:00,1887.871627032532,stop,-1.0,5.205625314589678,1882.998,1675868400000000000,-1,0.08026285013549395,-1.0802628501354938
short,2023-03-13 00:15:00+00:00,1879.925,1883.5168681865796,1869.149395440261,2023-03-13 02:30:00+00:00,1883.5168681865796,stop,-1.0,4.436794211130302,1880.295,1675913400000000000,-1,0.1313633145891765,-1.1313633145891764
short,2023-03-13 05:30:00+00:00,1879.365,1881.92448041712,1871.6865587486398,2023-03-13 06:00:00+00:00,1881.92448041712,stop,-1.0,3.161163103626941,1879.745,1675883700000000000,-1,0.1594300751245802,-1.1594300751245803
short,2023-03-13 07:00:00+00:00,1873.105,1875.962180854873,1864.5334574353813,2023-03-13 07:30:00+00:00,1875.962180854873,stop,-1.0,3.238322525060553,1873.795,1673323200000000000,-1,0.14416872685903123,-1.1441687268590313
short,2023-03-13 08:15:00+00:00,1878.528,1881.4135163543249,1869.8714509370254,2023-03-13 08:45:00+00:00,1881.4135163543249,stop,-1.0,3.4659959843690555,1878.648,1673385300000000000,-1,0.14669811127010368,-1.1466981112701036
short,2023-03-13 09:00:00+00:00,1884.745,1887.8555274527885,1875.4134176416342,2023-03-13 09:15:00+00:00,1887.8555274527885,stop,-1.0,3.529251639583524,1884.775,1673493300000000000,-1,0.13710297962387516,-1.1371029796238752
short,2023-03-13 10:00:00+00:00,1885.348,1889.5356981252366,1872.7849056242899,2023-03-13 11:30:00+00:00,1889.5356981252366,stop,-1.0,3.9552122491016934,1885.385,1675935900000000000,-1,0.10692284855890294,-1.1069228485589029
short,2023-03-13 11:45:00+00:00,1889.505,1892.867230555107,1879.4183083346795,2023-03-13 12:15:00+00:00,1892.867230555107,stop,-1.0,4.215723874371879,1889.977,1673528400000000000,-1,0.1370477681902896,-1.1370477681902895
short,2023-03-13 12:45:00+00:00,1899.305,1904.0335331654624,1885.1194005036132,2023-03-13 13:30:00+00:00,1904.0335331654624,stop,-1.0,5.031046118222983,1899.425,1673559900000000000,-1,0.10606932178768251,-1.1060693217876825
short,2023-03-13 14:45:00+00:00,1910.548,1914.499083999063,1898.694748002811,2023-03-14 07:45:00+00:00,1911.705,timeout,-0.29283103074353756,2.7272121541295475,1910.675,1673989200000000000,-1,0.0632737750094115,-0.35610480575294906
short,2023-03-17 17:00:00+00:00,1962.355,1967.1554845943226,1947.9535462170322,2023-03-17 17:15:00+00:00,1967.1554845943226,stop,-1.0,4.452214220522563,1964.805,1679067000000000000,-1,0.09845062550249031,-1.0984506255024904
short,2023-03-19 22:00:00+00:00,1985.848,1992.1226544122578,1967.0240367632264,2023-03-20 06:00:00+00:00,1992.1226544122578,stop,-1.0,3.597230455937455,1987.665,1679081400000000000,-1,0.06850760130424333,-1.0685076013042434
short,2023-03-20 06:30:00+00:00,1988.355,1992.4654213475308,1976.0237359574078,2023-03-20 07:00:00+00:00,1992.4654213475308,stop,-1.0,4.321495029467647,1990.548,1679265900000000000,-1,0.11338855851198017,-1.1133885585119803
short,2023-03-20 14:15:00+00:00,1967.205,1977.2554942391898,1937.0535172824302,2023-03-20 16:00:00+00:00,1977.2554942391898,stop,-1.0,5.334749303821179,1975.375,1679283000000000000,-1,0.05141413475728826,-1.0514141347572883
short,2023-03-21 00:45:00+00:00,1980.325,1983.2772153984752,1971.4683538045747,2023-03-21 02:45:00+00:00,1983.2772153984752,stop,-1.0,2.3462919764535415,1980.885,1679331600000000000,-1,0.12441998609329212,-1.1244199860932922
short,2023-05-03 18:00:00+00:00,2025.485,2037.1301343917698,1990.54959682469,2023-05-03 20:45:00+00:00,2037.1301343917698,stop,-1.0,4.862848440658809,2028.255,1680682500000000000,-1,0.04234750801858181,-1.0423475080185818
